"","Documents required for Income tax benefits"
"Investment type","Institution (Applicable for Self Policies only)"
"","Life Insurance Corporation of India"
"Life Insurance/ULIP/Pension","Bharti AXA Life Insurance Co. Ltd."
"Fund/Medi-claim","ICICI Prudential Life Insurance Co. Ltd."
"","ICICI Prudential Asset Management Company"
"","Ltd."
"Equity-Linked savings scheme (ELSS)","Reliance Mutual Fund"
"","Send an email to:   ppf@icicibank.com after"
"","opening the PPF account (refer  My investment"
"","tab in MyPay for more details)"
"","Enrollment has to be done at the beginning of"
"","every financial year"
"Public provident fund",""
